Instagram Make up (With subs) Singapore Trip Makeup Tutorial 인스타 메이크업-싱가폴 출장 메이크업,https://youtu.be/bNYNbGKGcbw,23:28,1878591,2016. 1. 3.,https://img.youtube.com/vi/bNYNbGKGcbw/0.jpg,베네피트 (benefit) 더 포어페셔널 ,에뛰드하우스 진주알 맑은 애니 쿠션 진주 아우라 [SPF50+/PA+++] 내추럴 베이지,클리오 킬커버 프로 아티스트 리퀴드 컨실러 03리넨,이글립스 파우더 팩트 블러팩트(9g),포니 X 미미박스샤인이지글램 1,삐아 라스트 펜 아이라이너 샤픈 브라운,샤넬 이니미터블 ,토니모리 (TONYMORY) 크리스탈 블러셔 3호 플레져 피치,,,,,,,,,,,,
Shanghai Trip ‘get ready with me’ (With subs) 중국 상해 출장 겟레디윗미! GRWM,https://youtu.be/Gqa9svhOHCo,28:55:00,6177190,2016. 7. 11.,https://img.youtube.com/vi/Gqa9svhOHCo/0.jpg,에뛰드하우스 룩 앳 마이 아이즈 [카페] BR401 까페라떼,베네피트 (benefit) 더 포어페셔널 ,토니모리딜라이트 베이비돌 메이크업 베이스# 02 클리어라벤더,에뛰드하우스 진주알 맑은 애니 쿠션 진주 아우라 [SPF50+/PA+++] 라이트 베이지,베네피트 (benefit) 페이크 업 01 라이트,클리오 킬커버 프로 아티스트 스틱 컨실러 3호,미미박스 X 포니샤인 이지 글램 1,미샤워터프루프 드로잉 아이 펜슬# 미드나잇 드림,에뛰드하우스 플레이 101 펜슬 - 아이 #8,이글립스스틱 섀도우# 05 비치,삐아 라스트 펜 아이라이너 샤픈 브라운,페리페라 (peripera) 홀리 딥 마스카라 3호 4mm 쭉쭉래쉬 마스카라,스킨푸드청포도 프레시 라이트 팩트# 13 라이트베이지,베네피트 (benefit) 훌라 ,맥 (MAC) 파우더 블러쉬 데임,캣 본 디 에버라스팅 리퀴드 립스틱# 롤리타,캣 본 디 에버라스팅 리퀴드 립스틱# 더블 데어,,,
Apricot Make (With subs) 살구 메이크업,https://youtu.be/AvK3g2Va-2c,18:22,6526161,2016. 7. 21.,https://img.youtube.com/vi/AvK3g2Va-2c/0.jpg,베네피트 (benefit) 이레이즈 페이스트 1호 페어,아멜리플랫립스# 917 에프리콧 치즈,클리오프로 싱글 섀도우# M43 우드,아르데코소프트 아이라이너 워터프루프# 10 블랙,아리따움 마이크로 마스카라 1호 느와르블랙,베네피트 (benefit) 데아 리얼 랭스닝 마스카라 비욘드브라운,에뛰드하우스 플레이 101 펜슬 - 아이 #8,삐아 라스트 펜 아이라이너 레드 브라운,이글립스 리얼 컬러 립스틱 27 써니,미샤실키 래스팅 립 펜슬# 건파이어,,,,,,,,,,
Natural Make up (With subs) 내추럴 메이크업,https://youtu.be/tRUGnDVnI60,15:17,9976850,2016. 8. 9.,https://img.youtube.com/vi/tRUGnDVnI60/0.jpg,안녕하세요 포니입니다!입술에 사용한 립제품은 제품 자체에도 컬러가 기입이 안 돼있고구글링을 아무리 해봐도 넘버가 안나와요 ㅠㅠ구입하실 때 톤 다운 된 장미빛 컬러를 기억하시고 구입하세요!!!AVENESUN VERY HIGH PROTECTION SUN CREAM SPF50+아벤느선 베리 하이 프로텍션 선 크림 SPF50+,조르지오아르마니블러싱 패브릭# 01 페탈 코랄,에뛰드하우스제로피지 드라잉 파우더,에뛰드하우스 플레이 101 펜슬 - 립 #33,"삐아 라스트 오토 젤 아이라이너 B5소울브라운
L1미스클래식",아리따움 마이크로 마스카라 1호 느와르블랙,,,,,,,,,,,,,,
Tokyo Trip GRWM (With subs) 키라키라 이가리 메이크업 (숙취메이크업),https://youtu.be/VM9_5yI4mfQ,30:08:00,4392326,2016. 10. 31.,https://img.youtube.com/vi/VM9_5yI4mfQ/0.jpg,토니모리치크톤 컨투어 듀오# CT02 내추럴 브라운,에스쁘아프로 테일러 리퀴드 파운데이션 SPF25 PA++#PFT,베네피트 (benefit) 포지틴트 ,어퓨 오일 컨트롤 필름 팩트 1호 소프트핑크,더 페이스샵 디자이닝 브로우카라# 01 블론드 브라운,더페이스샵 싱글 섀도우(매트) BR04 쿠키브라운,에뛰드하우스 플레이 컬러 아이즈 [피치팜] 상큼 자몽티,더페이스샵 싱글 섀도우(매트) BR04 쿠키브라운,삐아 라스트 오토 젤 아이라이너 10느와르,페어리드롭스 (FAIRYDROPS) 플래티넘 나인투나인 스태리아이즈 젤아이라이너 5 멜로우 코랄,베네피트그루밍 트위저 & 브러쉬,삐아 라스트 펜 아이라이너 샤픈 브라운,삐아 라스트 펜 아이라이너 샤픈 브라운,에뛰드 하우스러블리 쿠키 블러셔# 6 그레이프후르츠 젤리,베네피트베네 틴트,더바디샵 플레이버드 립글로스# 리치,,,,
Pony in LA,https://youtu.be/JMClWKtLndY,12:35,2510392,2017. 3. 11.,https://img.youtube.com/vi/JMClWKtLndY/0.jpg,+ 본 영상은 디올과 함께 합니다. +DiorDiorskinFOREVER PERPECT CUSHION# 011 CREA,디올 스킨 포에버 퍼펙트 쿠션 011 크림,디올 디올스킨 스타 컨실러 002 BEIGE,디올캡춰 토탈 루스 파우더# 001 브라이트 라이트,디올디올스킨 누드 에어 루스 파우더# 030 미디엄 베이지,디올올,디올 크레용 아이라이너 워터프루프 594,디올크레용 아이라이너 워터프루프# 094 트리니다드 블랙,디올디올쇼 아이코닉 오버컬 마스카라# 090 블랙,디올 어딕트 라커 스틱 877turn me dior,,,,,,,,,,
Instagram Live broadcast Make up (With sub) 인스타그램 라이브 방송 메이크업,https://youtu.be/9sfdPfojPmY,19:03,6897650,2017. 6. 8.,https://img.youtube.com/vi/9sfdPfojPmY/0.jpg,에뛰드 하우스플레이 101 스틱 파운데이션# 01 페어,어퓨 오일 컨트롤 필름 팩트 2호 스킨베이지,타르트타르틀렛 인 블룸 클레이 팔레트,토니모리 (TONYMORY) 백젤 리얼핏 워터프루프 라이너 02 젤브라운,DIOREYELASH CURLER 디올아이래쉬컬러,"베네피트 (benefit) 롤러래시 컬링 마스카라 블랙

*전 성분은 브라운 을 기준으로 등록되었습니다.",토니모리 (TONYMORY) 크리스탈 블러셔 3호 플레져 피치,베네피트 (benefit) 훌라 ,,,,,,,,,,,,
Makeup (With sub) 두근두근 메이크업,https://youtu.be/B3eF7RP0VvM,18:30,2410540,2017. 8. 10.,https://img.youtube.com/vi/B3eF7RP0VvM/0.jpg,크리니크컨실러 브러쉬,SKINFOODWHITE GRAPE FRESH LIGHT PACT# 13 LIGHT BEIGE 스킨푸드청포도 프레시 라이트 팩트# 13 라이트 베이지,CANMAKEMIX EYEBROW# 03 SOFT BROWN 캔메이크믹스 아이브로우# 03 소프트 브라운,맥파워포인트 아이 펜슬# 바운티풀 브라운,에뛰드하우스 플레이 101 펜슬 - 아이 #4,SHU UEMURAGLOW ON# M SOFT PINK 326 슈에무라글로우 온# M 소프트 핑크 326,,,,,,,,,,,,,,
10년 전 포니 메이크업 따라하기! (With sub) Following Pony’s Makeup from 10 years ago,https://youtu.be/hgutyYNVK2Q,22:11,1907137,2017. 8. 22.,https://img.youtube.com/vi/hgutyYNVK2Q/0.jpg,문샷 마이크로 세팅핏 쿠션 [SPF50+/PA+++] 101 아이보리,캔메이크모이스트 래스팅 커버컬러 스틱 # 02,크리니크컨실러 브러쉬,디올디올스킨 누드 에어 루스 파우더# 020 라이트베이지,CANMAKEMIX EYEBROW# 03 SOFT BROWN 캔메이크믹스 아이브로우# 03 소프트 브라운,에뛰드 하우스드로잉 아이브로우 듀오# 04 레드 브라운,디올25 브로우 브러쉬,에뛰드하우스 룩 앳 마이 아이즈 [카페] BR401 까페라떼,더 페이스샵심플드로우 아이펜슬# 01 블랙,크리니크래쉬 파워 볼류마이징 마스카라# 01 블랙 오닉스,SHU UEMURAGLOW ON# M SOFT PINK 326 슈에무라글로우 온# M 소프트 핑크 326,베네피트베네틴트,,,,,,,,
포니 더 글로브트롯터 - 스파클링 메이크업 GRWM - 방콕 편 (With sub),https://youtu.be/q-6qSyWrMxE,43:37:00,1298919,2017. 9. 24.,https://img.youtube.com/vi/q-6qSyWrMxE/0.jpg,에뛰드 하우스픽스 앤 픽스 포어 프라이머,캔메이크모이스트 래스팅 커버컬러 스틱 # 02,크리니크컨실러 브러쉬,라네즈새틴 피니시 루스파우더_EX# 01 퓨어 내츄럴,에뛰드 하우스드로잉 아이브로우 듀오# 04 레드 브라운,에뛰드 하우스청순 거짓 브라우 카라# 04 내추럴 브라운,홀리카홀리카피스 매칭 섀도우[매트]# MGA01,토니모리 (TONYMORY) 백젤 리얼핏 워터프루프 라이너 02 젤브라운,DIOREYELASH CURLER 디올아이래쉬컬러,페어리드롭스 (FAIRYDROPS) 플래티넘 나인투나인 스태리아이즈 젤아이라이너 15호 더스티 시더,크리니크리드 팝# 02 크림 팝,홀리카홀리카피스 매칭 섀도우[호일]# FBE01 ,더 페이스샵크리미 터치 립라이너# BE01 베이지가든,,,,,,,
PONY THE GLOBETROTTER - Soft Smoky Makeup (With sub) - Hong Kong,https://youtu.be/7dVT6Emo2MY,35:22:00,982083,2017. 11. 25.,https://img.youtube.com/vi/7dVT6Emo2MY/0.jpg,한스킨 리얼 컴플렉션 크림 EX ,슈에무라 포인트 실러 ,캔메이크 컬러믹싱 컨실러 2호 내추럴 베이지,로라메르시에 루스 세팅 파우더 트랜스루센트,슈에무라마리오 컬렉션딥씨 하이드라빌리티모이스쳐라이징 립밤,SHU UEMURAHARD FORMULA# 06 ACORN 슈에무라하드 포뮬라# 06 아콘,SHU UEMURAEYEBROW MANICURE# PALM BEIGE 슈에무라아이 브로우 매니큐어# 팜 베이지,슈에무라 래스팅 소프트 젤 펜슬 인텐스 블랙,슈에무라글로우 온# M 소프트 애프리콧 521,슈에무라 2015 S/S 루즈 언리미티드 립스틱 ,,,,,,,,,,
Tokyo Trip GRWM (With subs) 키라키라 이가리 메이크업 (숙취메이크업),https://youtu.be/VM9_5yI4mfQ,30:08:00,4392326,2016. 10. 31.,https://img.youtube.com/vi/VM9_5yI4mfQ/0.jpg,토니모리치크톤 컨투어 듀오# CT02 내추럴 브라운,에스쁘아프로 테일러 리퀴드 파운데이션 SPF25 PA++#PFT,베네피트 (benefit) 포지틴트 ,어퓨 오일 컨트롤 필름 팩트 1호 소프트핑크,더 페이스샵 디자이닝 브로우카라# 01 블론드 브라운,더페이스샵 싱글 섀도우(매트) BR04 쿠키브라운,에뛰드하우스 플레이 컬러 아이즈 [피치팜] 상큼 자몽티,더페이스샵 싱글 섀도우(매트) BR04 쿠키브라운,삐아 라스트 오토 젤 아이라이너 10느와르,삐아 라스트 오토 젤 아이라이너 L2레이디브라운,페어리드롭스 (FAIRYDROPS) 플래티넘 나인투나인 스태리아이즈 젤아이라이너 5 멜로우 코랄,에뛰드하우스 플레이 101 펜슬 ,베네피트그루밍 트위저 & 브러쉬,삐아 라스트 펜 아이라이너 샤픈 브라운,삐아 라스트 오토 젤 아이라이너 L2레이디브라운,삐아 라스트 펜 아이라이너 샤픈 브라운,에뛰드하우스 플레이 101 펜슬 ,에뛰드 하우스러블리 쿠키 블러셔# 6 그레이프후르츠 젤리,베네피트베네 틴트,더바디샵 플레이버드 립글로스# 리치
Pop Of Color Makeup (With sub) 팝 오브 컬러 메이크업,https://youtu.be/w6wFUHPpOJ8,9:13,1334184,2017. 7. 10.,https://img.youtube.com/vi/w6wFUHPpOJ8/0.jpg,에스쁘아프로 테일러 리퀴드 파운데이션 SPF25 PA++# 아이보리 퓨어,토니모리페이스 믹스 커버 팟 컨실러# 01 라이트 베이지,미샤트리플 브로우 펜슬# 다크 브라운,캔메이크믹스 아이브로우# 03 소프트 브라운,에뛰드하우스 슈퍼 슬림 프루프 젤 펜슬 라이너 8호 와인 버건디,에뛰드하우스 슈퍼 슬림 프루프 젤 펜슬 라이너 3호 로즈 브라운,에뛰드하우스 슈퍼 슬림 프루프 젤 펜슬 라이너 7호 팝핑 오렌지,샤넬이니미터블 워터프루프 마스카라# 10 누아르,미샤 모던 섀도우 이탈프리즘 [쉬머] 1호 레이스셔링,나스블론징 파우더# 라구나,맥 (MAC) 맥 이즈 뷰티 립스틱 디바-이쉬,,,,,,,,,
Instagram Makeup-Summer daily look (With subs) 인스타 메이크업-썸머 데일리 룩,https://youtu.be/k1-Kj6Y8YjQ,7:57,1521489,2015. 6. 14.,https://img.youtube.com/vi/k1-Kj6Y8YjQ/0.jpg,클리오 킬커버 프로 아티스트 팟 컨실러 ,아리따움포어 마스터 세범 컨트롤 팩트,"엘르걸 테이크 잇 이지 오토 아이브로우 흑갈색
갈색
회갈색",미카 매팅 아이 섀도우 깊은 커피 풍미,메이블린 뉴욕아이 스튜디오 젤 라이너 브라운,에뛰드하우스프린세스 아이래쉬롱래쉬 02,메이블린 뉴욕메가 아이즈볼륨 익스프레스워터프루프,,,,,,,,,,,,,
Instagram Makeup-Sexy lashes look (With subs) 인스타 메이크업-섹시 래쉬 룩,https://youtu.be/ja_DflYDg3c,11:31,2954412,2015. 7. 17.,https://img.youtube.com/vi/ja_DflYDg3c/0.jpg,"랑콤 압솔뤼 수블라임 레쥬브네이팅 에센스 파운데이션 * 110-IVOIRE-PO 밝은 핑크 컬러
* 210-IVOIRE-PO 중간 핑크 컬러 
* 130-IVOIRE-O 중간 핑크 컬러
* 150-IVOIRE-O 밝은 베이지 컬러",클리오 킬커버 프로 아티스트 리퀴드 컨실러 03리넨,크리오란 (KRYOLAN) 더마컬러 캐머플래지 크림 D0 하이라이트,케이트 (KATE) 3D 아이브로우 컬러 BR-1,미미박스 X 포니샤인 이지 글램 1,"아리따움 샤인픽스 아이즈 3. 코코넛 베이
5. 로맨틱플로어",프로에잇청담스테이 온 젤 아이라이너#브라운,토니모리 (TONYMORY) 크리스탈 블러셔 5호 슈가브라운 (쉐딩),클리오아트 하이라이트#002 소프트핑크,,,,,,,,,,,
Shanghai Trip ‘get ready with me’ (With subs) 중국 상해 출장 겟레디윗미! GRWM,https://youtu.be/Gqa9svhOHCo,28:55:00,6177190,2016. 7. 11.,https://img.youtube.com/vi/Gqa9svhOHCo/0.jpg,에뛰드하우스 룩 앳 마이 아이즈 [카페] BR401 까페라떼,베네피트 (benefit) 더 포어페셔널 ,토니모리딜라이트 베이비돌 메이크업 베이스# 02 클리어라벤더,에뛰드하우스 진주알 맑은 애니 쿠션 진주 아우라 [SPF50+/PA+++] 라이트 베이지,베네피트 (benefit) 페이크 업 01 라이트,클리오 킬커버 프로 아티스트 스틱 컨실러 3호,미미박스 X 포니샤인 이지 글램 1,미샤워터프루프 드로잉 아이 펜슬# 미드나잇 드림,에뛰드하우스 플레이 101 펜슬 - 아이 #8,이글립스스틱 섀도우# 05 비치,삐아 라스트 펜 아이라이너 샤픈 브라운,페리페라 (peripera) 홀리 딥 마스카라 3호 4mm 쭉쭉래쉬 마스카라,스킨푸드청포도 프레시 라이트 팩트# 13 라이트베이지,베네피트 (benefit) 훌라 ,맥 (MAC) 파우더 블러쉬 데임,캣 본 디 에버라스팅 리퀴드 립스틱# 롤리타,캣 본 디 에버라스팅 리퀴드 립스틱# 더블 데어,,,
Instagram Make up (With subs) Singapore Trip Makeup Tutorial 인스타 메이크업-싱가폴 출장 메이크업,https://youtu.be/bNYNbGKGcbw,23:28,1878592,2016. 1. 3.,https://img.youtube.com/vi/bNYNbGKGcbw/0.jpg,베네피트 (benefit) 더 포어페셔널 ,에뛰드하우스 진주알 맑은 애니 쿠션 진주 아우라 [SPF50+/PA+++] 내추럴 베이지,클리오 킬커버 프로 아티스트 스틱 컨실러 3호,포니 X 미미박스샤인이지글램 1,삐아 라스트 펜 아이라이너 샤픈 브라운,샤넬 이니미터블 ,토니모리 (TONYMORY) 크리스탈 블러셔 3호 플레져 피치,,,,,,,,,,,,,
Apricot Make (With subs) 살구 메이크업,https://youtu.be/AvK3g2Va-2c,18:22,6526161,2016. 7. 21.,https://img.youtube.com/vi/AvK3g2Va-2c/0.jpg,베네피트 (benefit) 이레이즈 페이스트 1호 페어,아멜리플랫립스# 917 에프리콧 치즈,클리오프로 싱글 섀도우# M43 우드,"삐아 라스트 오토 젤 아이라이너 B5소울브라운
L1미스클래식",아르데코소프트 아이라이너 워터프루프# 10 블랙,아리따움 마이크로 마스카라 1호 느와르블랙,베네피트 (benefit) 데아 리얼 랭스닝 마스카라 비욘드브라운,에뛰드하우스 플레이 101 펜슬 - 아이 #8,삐아 라스트 펜 아이라이너 레드 브라운,이글립스 리얼 컬러 립스틱 27 써니,미샤실키 래스팅 립 펜슬# 건파이어,,,,,,,,,
Natural Make up (With subs) 내추럴 메이크업,https://youtu.be/tRUGnDVnI60,15:17,9976856,2016. 8. 9.,https://img.youtube.com/vi/tRUGnDVnI60/0.jpg,안녕하세요 포니입니다!입술에 사용한 립제품은 제품 자체에도 컬러가 기입이 안 돼있고구글링을 아무리 해봐도 넘버가 안나와요 ㅠㅠ구입하실 때 톤 다운 된 장미빛 컬러를 기억하시고 구입하세요!!!AVENESUN VERY HIGH PROTECTION SUN CREAM SPF50+아벤느선 베리 하이 프로텍션 선 크림 SPF50+,조르지오아르마니블러싱 패브릭# 01 페탈 코랄,에뛰드하우스제로피지 드라잉 파우더,에뛰드하우스 플레이 101 펜슬 - 립 #33,"삐아 라스트 오토 젤 아이라이너 B5소울브라운
L1미스클래식",아리따움 마이크로 마스카라 1호 느와르블랙,,,,,,,,,,,,,,
Tokyo Trip GRWM (With subs) 키라키라 이가리 메이크업 (숙취메이크업),https://youtu.be/VM9_5yI4mfQ,30:08:00,4392326,2016. 10. 31.,https://img.youtube.com/vi/VM9_5yI4mfQ/0.jpg,토니모리치크톤 컨투어 듀오# CT02 내추럴 브라운,에스쁘아프로 테일러 리퀴드 파운데이션 SPF25 PA++#PFT,베네피트 (benefit) 포지틴트 ,어퓨 오일 컨트롤 필름 팩트 1호 소프트핑크,더 페이스샵 디자이닝 브로우카라# 01 블론드 브라운,더페이스샵 싱글 섀도우(매트) BR04 쿠키브라운,에뛰드하우스 플레이 컬러 아이즈 [피치팜] 상큼 자몽티,더페이스샵 싱글 섀도우(매트) BR04 쿠키브라운,삐아 라스트 오토 젤 아이라이너 10느와르,페어리드롭스 (FAIRYDROPS) 플래티넘 나인투나인 스태리아이즈 젤아이라이너 5 멜로우 코랄,베네피트그루밍 트위저 & 브러쉬,삐아 라스트 펜 아이라이너 샤픈 브라운,삐아 라스트 펜 아이라이너 샤픈 브라운,에뛰드 하우스러블리 쿠키 블러셔# 6 그레이프후르츠 젤리,베네피트베네 틴트,더바디샵 플레이버드 립글로스# 리치,,,,
Instagram Makeup - Snowflake Makeup (With subs) 인스타 메이크업 - 눈꽃 메이크업,https://youtu.be/lbDalERJ2Os,9:32,8713612,2016. 12. 15.,https://img.youtube.com/vi/lbDalERJ2Os/0.jpg,슈에무라페탈 스킨 플루이드 파운데이션# 574 라이트 샌,더 페이스샵러블리 믹스 파스텔 쿠션 블러셔# 05 피치쿠,에뛰드 하우스드로잉 아이브러우 듀오# 01 다크브라운,더페이스샵 싱글 섀도우(매트) PK01 빈티지로즈,토니모리 (TONYMORY) 마크 워터프루프 젤 라이너 02 브라운,에뛰드 하우스아이래쉬 컬,베네피트 (benefit) 데아 리얼 랭스닝 마스카라 비욘드브라운,,,,,,,,,,,,,
Pink Gold Glittery Make up (With sub) 핑크 골드 글리터리 메이크업,https://youtu.be/jOv_d2EtRUA,10:33,5019000,2017. 9. 8.,https://img.youtube.com/vi/jOv_d2EtRUA/0.jpg,프로에잇청담스테이 온 젤 아이라이너# 02 브라운,크리니크래쉬 파워 볼류마이징 마스카라# 01 블랙 오닉스,에뛰드하우스 퍼스널 컬러 컨투어링 팔레트 크림 ,베카 (Becca) 쉬머링 스킨 퍼펙터 스팟라이트 완드 오팔,,,,,,,,,,,,,,,,
Instagram Makeup - Snowflake Makeup (With subs) 인스타 메이크업 - 눈꽃 메이크업,https://youtu.be/lbDalERJ2Os,9:32,8713612,2016. 12. 15.,https://img.youtube.com/vi/lbDalERJ2Os/0.jpg,슈에무라페탈 스킨 플루이드 파운데이션# 574 라이트 샌,더 페이스샵러블리 믹스 파스텔 쿠션 블러셔# 05 피치쿠,에뛰드 하우스드로잉 아이브러우 듀오# 01 다크브라운,더페이스샵 싱글 섀도우(매트) PK01 빈티지로즈,토니모리 (TONYMORY) 백젤 리얼핏 워터프루프 라이너 02 젤브라운,에뛰드 하우스아이래쉬 컬,베네피트 (benefit) 데아 리얼 랭스닝 마스카라 비욘드브라운,에뛰드하우스 디어 마이 블루밍 립스 톡 쉬폰 떨리고쉬폰베이지,,,,,,,,,,,,
Pink Gold Glittery Make up (With sub) 핑크 골드 글리터리 메이크업,https://youtu.be/jOv_d2EtRUA,10:33,5019000,2017. 9. 8.,https://img.youtube.com/vi/jOv_d2EtRUA/0.jpg,에뛰드하우스 플레이 컬러 아이즈 [와인파티] 알싸한 와인 버건디,프로에잇청담스테이 온 젤 아이라이너# 02 브라운,슈에무라 슈 팔레트 2015 FW,크리니크래쉬 파워 볼류마이징 마스카라# 01 블랙 오닉스,에뛰드하우스 퍼스널 컬러 컨투어링 팔레트 파우더 ,슈에무라 슈 팔레트 2015 FW,베카 (Becca) 쉬머링 스킨 퍼펙터 프레스드 하이라이터 오팔,,,,,,,,,,,,,
2화 '농사를 부탁해' / 'PONY ON-AIR' EP-02 (With sub),https://youtu.be/dBniz5wq4XY,17:01,762179,2018. 9. 27.,https://img.youtube.com/vi/dBniz5wq4XY/0.jpg,디올 백스테이지 컨투어 팔레트 ,디올 뷰,베네피트 (benefit) 페이스 파우더듀오 ,,,,,,,,,,,,,,,,,
4화 '가족사진을 부탁해' / 'PONY ON-AIR' EP-04 (With sub),https://youtu.be/FXPmjNWR2xo,18:52,406247,2018. 10. 11.,https://img.youtube.com/vi/FXPmjNWR2xo/0.jpg,네이처리퍼블릭 프로 터치 블러셔 팔레트 ,,,,,,,,,,,,,,,,,,,
6화 '한국 친구가 돼주길 부탁해' / 'PONY ON-AIR' EP-06 (With sub),https://youtu.be/s1DjRT82fMc,20:45,389839,2018. 10. 25.,https://img.youtube.com/vi/s1DjRT82fMc/0.jpg,에뛰드하우스 드로잉 아이 브라우 01호 흑갈색,에뛰드하우스 플레이 101 스틱 - 컨투어 듀오 2호 라이트베이스+다크쉐이딩,조르지오아르마니 아이 콰트로 2호 아방-프리미에,조르지오 아르마니 아이즈 투 킬 스텔라 05 스텔,,,,,,,,,,,,,,,,
7화 '육아 스트레스를 부탁해' / 'PONY ON-AIR' EP-07 (With sub),https://youtu.be/YP7aTW35zRQ,18:42,525311,2018. 11. 1.,https://img.youtube.com/vi/YP7aTW35zRQ/0.jpg,바슈롬 레이셀 데일리 컬러 콘택트 렌즈 크리스탈 브라운 BAUSCH+LOMB LACELLE Daily Colored Contact Lens #Crystal Brow,바비 브라운 쉬어 피니시 프레스드 파우더 페일옐로우,,,,,,,,,,,,,,,,,,
Tokyo Trip GRWM (With subs) 키라키라 이가리 메이크업 (숙취메이크업),https://youtu.be/VM9_5yI4mfQ,30:08:00,4392327,2016. 10. 31.,https://img.youtube.com/vi/VM9_5yI4mfQ/0.jpg,토니모리치크톤 컨투어 듀오# CT02 내추럴 브라운,에스쁘아프로 테일러 리퀴드 파운데이션 SPF25 PA++#PFT,베네피트 (benefit) 포지틴트 ,어퓨 오일 컨트롤 필름 팩트 1호 소프트핑크,더 페이스샵 디자이닝 브로우카라# 01 블론드 브라운,더페이스샵 싱글 섀도우(매트) BR04 쿠키브라운,에뛰드하우스 플레이 컬러 아이즈 [주스바] 머슬마니아,더페이스샵 싱글 섀도우(매트) BR04 쿠키브라운,삐아 라스트 오토 젤 아이라이너 10느와르,삐아 라스트 오토 젤 아이라이너 L2레이디브라운,페어리드롭스 (FAIRYDROPS) 플래티넘 나인투나인 스태리아이즈 젤아이라이너 5 멜로우 코랄,베네피트그루밍 트위저 & 브러쉬,삐아 라스트 펜 아이라이너 샤픈 브라운,삐아 라스트 오토 젤 아이라이너 L2레이디브라운,삐아 라스트 펜 아이라이너 샤픈 브라운,에뛰드 하우스러블리 쿠키 블러셔# 6 그레이프후르츠 젤리,베네피트베네 틴트,더바디샵 플레이버드 립글로스# 리치,,
